Species,Environment,SLpp,SLRMS,SLEFD,Fc,Fp,BW3dB,BWRMS,QRMS,Duration
Platanista gangetica,1,183,173,127,61,59,44,20,3.1,22
Ziphius cavirostris,3,214,201,164,42,40,12,7.9,5.3,200
Mesoplodon densirostris,3,211,200,165,33,32,12.4,6.9,5.0,301
Inia geoffrensis,1,190,181,132,101,96,50,29,3.5,14
Neophocaena phocaenoides,2,178,167,130,129,129,21,13,9.9,44
Phocoena phocoena,2,186,175,133,137,138,15,10,15,62
Phocoena dalli,3,183,172,132,137,137,11,8,17,104
Orcinus orca,5,203,193,149,37,29,25,12,2.7,41
Lagenorhynchus obscurus,2,191,182,134,81,74,67,34,2.4,16
Cephalorhynchus hectori,2,177,166,121,128,129,20,18,8,57
Cephalorhynchus commersonii,2,177,166,125,133,132,21,12,12,78
Cephalorhynchus heavisidii,2,173,161,120,125,125,15,15,9,74
Lagenorhynchus australis,2,185,173,133,129,126,15,12,12,92
Lagenorhynchus cruciger,4,197,186,146,128,126,8,11,13,115
Orcaella brevirostris,1,195,185,136,95,101,64,30,3.2,13
Grampus griseus,3,220,207,164,75,49,27,25,3.0,40
Pseudorca crassidens,3,220,208,163,49,40,35,20,2.5,30
Globicephala melas,3,196,185,140,55,50,46,20,2.8,23
Globicephala macrorhynchus,3,181,170,127,40,39,16,12,3.6,57
Sousa chinensis,2,188,177,132,95,109,50,29,3.3,19
Sousa sahulensis,2,199,189,141,106,114,59,29,3.7,15
Stenella attenuata,3,212,194,150,83,69,80,39,2.2,43
Stenella longirostris,3,208,193,148,80,70,76,34,2.4,31
Stenella frontalis,5,209,200,151,86,78,91,33,2.6,13
Tursiops aduncus,2,205,195,146,99,124,62,35,2.7,16
Orcaella heinsohni,2,200,190,141,98,104,69,31,3.2,12
Kogia sima,3,186,174,135,123,123,4,3,56,142
Globicephala macrorhynchus,3,181,170,127,40,39,16,12,3.6,57